codEstacao;municipio;uf;nomeEstacao;latitude;longitude;data;hora;precipitação
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;00:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;01:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;02:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;03:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;04:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;05:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;06:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;07:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;08:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;09:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;10:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;11:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;12:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;13:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;14:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;15:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;16:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;17:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;17:10:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;17:20:00.0;0,39
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;17:30:00.0;1,37
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;17:40:00.0;1,18
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;17:50:00.0;0,39
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;18:00:00.0;0,59
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;18:10:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;18:20:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;18:30:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;18:40:00.0;0,2
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;18:50:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;19:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;19:10:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;19:20:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;19:30:00.0;0,2
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;19:40:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;20:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;21:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;22:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;01/04/2015;23:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;00:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;01:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;02:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;03:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;04:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;05:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;06:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;07:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;08:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;09:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;10:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;11:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;12:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;13:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;14:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;15:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;16:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;17:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;18:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;19:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;20:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;21:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;22:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;02/04/2015;23:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;03/04/2015;00:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;03/04/2015;01:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;03/04/2015;02:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;03/04/2015;03:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;03/04/2015;04:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;03/04/2015;05:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;03/04/2015;06:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;03/04/2015;07:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;03/04/2015;08:00:00.0;0
231290802A;SOBRAL;CE;Padre Ibiapina;-3.69;-40.372;03/04/2015;09:00:00.0;0
